매물ID,제조사,모델,현재가격,차량연령,주행거리_km,연료,색상,지역,변속기,배기량,차급,좌석수,상사명,압류건수,저당건수,보험이력공개여부,보험이력건수,성능점검유형,옵션_기본코드 개수,옵션_선택코드 개수,옵션_튜닝코드 개수,옵션_기타개수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,보험이력_여부,사고종합_여부
41566891,0,58,4750,2,23992,4,11,1,1,2151,0,7,79,0,0,1,1,1,50,5,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41569825,0,47,1470,4,9176,1,17,1,1,998,2,5,158,0,0,1,2,1,28,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
41624278,0,70,3333,6,33079,1,22,1,1,1368,1,5,83,0,0,1,0,1,35,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41626186,0,78,3050,4,84131,4,2,8,1,2151,1,5,90,0,0,1,4,1,48,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
41595087,0,78,4190,3,42259,3,2,5,1,1598,1,5,800,0,0,1,0,1,49,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41603010,0,9,2450,5,81948,1,22,6,1,1999,7,5,970,0,0,1,1,1,45,4,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41656413,0,86,999,8,155436,1,2,1,1,2359,3,5,874,0,0,1,4,1,39,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
41650030,0,64,450,13,161209,1,2,7,1,998,2,5,333,0,0,1,4,1,24,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1
41638505,0,34,1430,4,124850,1,17,6,1,1598,6,5,970,0,0,1,1,1,29,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
41640031,0,44,1770,3,18794,1,22,1,1,998,2,5,158,0,0,1,0,1,34,3,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
