매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41103858,K5 3세대,2650,1,52623,1598,5,5,2,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41519222,K7 프리미어,2350,1,72300,2497,5,6,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41512511,더 뉴 K9 2세대,4999,1,37420,3778,5,4,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41513295,더 뉴 쏘렌토 4세대,4450,1,39704,1598,6,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41503257,더 뉴 기아 레이,1299,1,38505,998,2,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
41565789,카니발 4세대,3040,1,46112,2151,9,5,4,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41571579,K8,3280,1,29125,2497,5,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
41644113,K8 하이브리드,3280,1,57470,1598,5,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41631570,K5 하이브리드 3세대,2560,1,56081,1999,5,3,4,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41635165,스포티지 5세대,2790,1,32600,1598,5,2,6,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41623351,쏘렌토 4세대,2650,1,134160,2151,5,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41651710,더 뉴 기아 레이,1270,1,21617,998,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41611594,카니발 4세대,3190,1,34543,2151,9,5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41605120,더 뉴 쏘렌토 4세대,4650,1,8145,2497,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41596924,올 뉴 K3,1140,1,72811,1598,5,5,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
41590046,쏘렌토 4세대,2439,1,120284,2151,5,3,3,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41646997,스포티지 5세대,2599,1,98913,1998,5,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41647649,카니발 4세대,3290,1,147850,2151,7,4,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41643219,더 뉴 카니발,1850,1,139381,2199,9,7,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
