매물ID,모델_CV_TE,현재가격_만원,모델,모델_원본,모델_LE,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
40738686,473.05967855859427,540,크루즈,올 뉴 크루즈,95,174552,1399,5,9,11,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41017594,723.7884711060512,999,QM3,QM3,15,80621,1461,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
40537422,702.4010571269893,750,에쿠스,에쿠스(신형),73,50410,3778,5,15,15,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41613415,930.193512170366,770,쏘나타,LF 쏘나타 하이브리드,57,203743,1999,5,10,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
41448736,807.4456798684994,1150,SM6,SM6,20,72302,1997,5,7,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
41431527,1084.4388555279147,1249,카니발,올 뉴 카니발,85,148973,3342,7,10,8,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41120180,1379.3008305997773,1420,캐스퍼,캐스퍼,88,104265,998,4,4,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41645299,875.1505814198441,1150,제네시스,제네시스 DH,81,93251,3342,5,12,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41591198,941.3889022900747,1570,쏘나타,쏘나타 (DN8),57,173628,1999,5,7,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
40835734,963.6518467963097,700,티볼리,티볼리 아머,105,157694,1597,5,8,13,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41575699,731.2047804071187,515,에쿠스,에쿠스(신형),73,275236,3778,5,12,12,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41508466,1234.4350592827248,1630,코나,코나,91,43435,1591,5,9,2,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40900114,1301.1905814198442,1350,QM6,QM6,17,99901,1997,5,8,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
41481042,886.0914963836809,570,제네시스,제네시스,81,141214,3342,5,14,12,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40779235,813.3482474056841,710,말리부,올 뉴 말리부,40,123905,1998,5,10,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41462771,1244.946731648438,1250,G80,G80,5,174814,3342,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
40747444,468.8263197140382,290,SM3,뉴SM3,18,98626,1598,5,13,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
40817102,936.9062313760018,1450,아반떼,더 뉴 아반떼 AD,62,70139,1598,5,7,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41583422,1247.5118753613704,1280,XM3,XM3,23,137376,1332,5,6,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
40684675,390.5605814198441,250,SM5,뉴SM5(신형),19,114575,1998,5,16,6,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
41288428,930.193512170366,315,쏘나타,YF 쏘나타,57,159426,1998,5,16,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
38238748,487.46355435797625,370,크루즈,어메이징 뉴 크루즈,95,125556,1998,5,11,16,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
41455004,760.3828753088075,750,에쿠스,에쿠스(신형),73,173101,5038,5,13,17,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41408408,1257.9607752264587,1690,G80,G80,5,127576,3778,5,7,6,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41135417,793.5123984456893,480,코란도,뉴코란도 C,92,150224,1998,5,11,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41266236,970.8411733726565,699,티볼리,티볼리 에어,105,102983,1597,5,9,12,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
39102080,1072.7523168570258,1395,싼타페,싼타페 더 프라임,56,147659,1995,5,10,7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40296625,814.5976259860029,910,말리부,올 뉴 말리부,40,104321,1490,5,10,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41430618,831.0491350121001,1250,코란도,코란도 투리스모,92,130151,2157,9,9,17,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41441275,936.2255262529029,319,아반떼,더 뉴 아반떼 (CN7),62,7,1598,5,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41454900,793.5123984456893,690,코란도,뉴코란도 C,92,57829,2157,5,10,5,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41295006,1001.0863434464768,459,스포티지,스포티지 R,55,201424,1995,5,15,11,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40142493,856.7751313223292,499,K3,K3,10,139510,1591,5,13,16,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41525725,943.9179347406766,1190,아반떼,더 뉴 아반떼 AD,62,89747,1598,5,7,2,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41488814,445.5898375614303,479,SM3,SM3 네오,18,130260,1598,5,10,4,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
39802588,962.3768750735256,800,티볼리,티볼리,105,98494,1597,5,10,5,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41602280,947.3443649473054,690,아반떼,더 뉴 아반떼,62,54449,1591,5,12,7,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
40721369,539.6756970784525,299,스파크,스파크,54,73560,995,5,13,2,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41542810,989.5293758939163,840,이쿼녹스,이쿼녹스,79,180750,1598,5,8,26,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40180729,819.4078380887734,850,SM6,SM6,20,69451,1997,5,10,7,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
41330389,1072.0705427989608,1390,볼트,볼트 EV,48,118950,174,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
